,models,params,mean_fit_time,mean_test_accuracy,mean_test_f1_macro,mean_test_geometric_mean_macro
185,DimReduct|RFC,"{'DimReduct__n_features': 186, 'RFC__random_state': 2357136044}",2909.8618683338163,0.6789134126432119,0.5816171432182411,0.7154623517189711
189,DimReduct|RFC,"{'DimReduct__n_features': 190, 'RFC__random_state': 2357136044}",234.43292617797852,0.678041295995895,0.5817705383912622,0.7149029420067092
190,DimReduct|RFC,"{'DimReduct__n_features': 191, 'RFC__random_state': 2357136044}",233.7713483810425,0.6780111258097927,0.5830413157296807,0.7160619012670799
201,DimReduct|RFC,"{'DimReduct__n_features': 202, 'RFC__random_state': 2357136044}",254.03406476974487,0.6779912254396938,0.5820195889024908,0.7152924929029374
183,DimReduct|RFC,"{'DimReduct__n_features': 184, 'RFC__random_state': 2357136044}",234.9791422367096,0.6779911189062846,0.581002689346185,0.7139675502363199
182,DimReduct|RFC,"{'DimReduct__n_features': 183, 'RFC__random_state': 2357136044}",234.7938425540924,0.6777805940914503,0.5805287943705661,0.7142250255030596
174,DimReduct|RFC,"{'DimReduct__n_features': 175, 'RFC__random_state': 2357136044}",234.98403105735778,0.6777005895432832,0.5823266911156599,0.7149861855582322
173,DimReduct|RFC,"{'DimReduct__n_features': 174, 'RFC__random_state': 2357136044}",243.16491475105286,0.67765030697223,0.5795767954974449,0.7136631395740594
188,DimReduct|RFC,"{'DimReduct__n_features': 189, 'RFC__random_state': 2357136044}",233.72087016105652,0.677630173436345,0.5777102880533383,0.7127440227435934
192,DimReduct|RFC,"{'DimReduct__n_features': 193, 'RFC__random_state': 2357136044}",235.74878249168395,0.6776001379608502,0.580575340134314,0.7149533725687036
179,DimReduct|RFC,"{'DimReduct__n_features': 180, 'RFC__random_state': 2357136044}",240.44043636322021,0.6774499001927821,0.5810339560240019,0.7146011124375068
178,DimReduct|RFC,"{'DimReduct__n_features': 179, 'RFC__random_state': 2357136044}",235.7968138217926,0.6774497735720917,0.5805925303704295,0.7147729895736008
288,DimReduct|RFC,"{'DimReduct__n_features': 289, 'RFC__random_state': 2357136044}",296.7814871788025,0.6773895649178027,0.5806666368307319,0.7153506557162308
